query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus
C1;193.6;4.599999999999994;2.4000000000000057;184.2;4.199999999999989;3.8000000000000114;25.4;4.399999999999999;4.600000000000001;25.4;4.399999999999999;4.600000000000001
C2;1213.4;20.40000000000009;13.599999999999909;NaN;NaN;NaN;53.2;5.200000000000003;7.799999999999997;NaN;NaN;NaN
C3;2232.2;84.19999999999982;90.80000000000018;8;1;1;2809.8;91.80000000000018;145.19999999999982;2639;96;138
F1;23;3;7;NaN;NaN;NaN;21;3;4;NaN;NaN;NaN
F2;22.8;15.8;31.2;24;NaN;NaN;22;5;8;29;NaN;NaN
F3;45.8;41.8;42.2;46.333333333333336;10.333333333333336;14.666666666666664;24.4;3.3999999999999986;3.6000000000000014;25;4;3
F4;32.6;2.6000000000000014;2.3999999999999986;NaN;NaN;NaN;21.2;6.199999999999999;11.8;NaN;NaN;NaN
F5;50.4;7.399999999999999;5.600000000000001;8.4;0.40000000000000036;0.5999999999999996;21.2;5.199999999999999;4.800000000000001;20.4;5.399999999999999;4.600000000000001
L1;22.6;6.600000000000001;13.399999999999999;16.75;7.75;10.25;15.4;1.4000000000000004;1.5999999999999996;15;1;1
L2;20.4;4.399999999999999;7.600000000000001;18.2;5.199999999999999;5.800000000000001;19.2;3.1999999999999993;3.8000000000000007;19.2;3.1999999999999993;3.8000000000000007
L3;18.4;13.399999999999999;16.6;13.8;10.8;15.2;30.6;11.600000000000001;12.399999999999999;29.6;12.600000000000001;12.399999999999999
L4;12.6;7.6;10.4;11.4;7.4;10.6;18.2;2.1999999999999993;8.8;18;3;9
L5;20.6;3.6000000000000014;4.399999999999999;16.6;3.6000000000000014;4.399999999999999;20.6;4.600000000000001;10.399999999999999;20.2;4.199999999999999;10.8
S1;53.2;17.200000000000003;15.799999999999997;26;19;21;32.4;16.4;8.600000000000001;32;16;9
S2;40.4;25.4;71.6;18.8;11.8;39.2;16;2;3;16;2;3
S3;25;20;23;16.5;10.5;10.5;20;3;5;23;1;1
S4;19.4;8.399999999999999;12.600000000000001;NaN;NaN;NaN;19.2;4.199999999999999;4.800000000000001;NaN;NaN;NaN
S5;13.2;8.2;8.8;NaN;NaN;NaN;23.8;7.800000000000001;10.2;NaN;NaN;NaN
S6;20.6;3.6000000000000014;4.399999999999999;14.25;5.25;1.75;21.2;7.199999999999999;17.8;22.5;9.5;16.5
S7;12.8;1.8000000000000007;1.1999999999999993;NaN;NaN;NaN;19.4;7.399999999999999;7.600000000000001;NaN;NaN;NaN
